seq,operation,phase,frame,channel,address_offset,write_value,read_mask,expected_value,comparison,EQ,timeout_us,register,description
142,READ_CHECK,rx_read,2,CH1,0x2A0,,0xFFFFFFFF,0x00000004,masked_eq,1,,ENG1_RXDATA0,Check frame 2 channel 1 word 0
143,READ_CHECK,rx_read,2,CH1,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 2 channel 1 word 1
144,READ_CHECK,rx_read,2,CH1,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 2 channel 1 word 2
145,READ_CHECK,rx_read,2,CH1,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 2 channel 1 word 3
146,WRITE,rx_pop,2,CH2,0x29C,0x00000001,,,,0,,ENG1_RXPOP_CH2,Pop frame 2 channel 2 into shared RX staging
147,READ_CHECK,rx_read,2,CH2,0x2A0,,0xFFFFFFFF,0x00000005,masked_eq,1,,ENG1_RXDATA0,Check frame 2 channel 2 word 0
148,READ_CHECK,rx_read,2,CH2,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 2 channel 2 word 1
149,READ_CHECK,rx_read,2,CH2,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 2 channel 2 word 2
150,READ_CHECK,rx_read,2,CH2,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 2 channel 2 word 3
151,POLL,rx_wait,3,,0x28C,,0x0000F000,0x00000000,masked_ne,0,100,ENG1_RX_FIFO_STAT,Wait until FRAMES[15:12] is nonzero
152,WRITE,rx_pop,3,CH0,0x294,0x00000001,,,,0,,ENG1_RXPOP_CH0,Pop frame 3 channel 0 into shared RX staging
153,READ_CHECK,rx_read,3,CH0,0x2A0,,0xFFFFFFFF,0x00000001,masked_eq,1,,ENG1_RXDATA0,Check frame 3 channel 0 word 0
154,READ_CHECK,rx_read,3,CH0,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 3 channel 0 word 1
155,READ_CHECK,rx_read,3,CH0,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 3 channel 0 word 2
156,READ_CHECK,rx_read,3,CH0,0x2AC,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA3,Check frame 3 channel 0 word 3
157,WRITE,rx_pop,3,CH1,0x298,0x00000001,,,,0,,ENG1_RXPOP_CH1,Pop frame 3 channel 1 into shared RX staging
158,READ_CHECK,rx_read,3,CH1,0x2A0,,0xFFFFFFFF,0x00000006,masked_eq,1,,ENG1_RXDATA0,Check frame 3 channel 1 word 0
159,READ_CHECK,rx_read,3,CH1,0x2A4,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA1,Check frame 3 channel 1 word 1
160,READ_CHECK,rx_read,3,CH1,0x2A8,,0xFFFFFFFF,0x00000000,masked_eq,1,,ENG1_RXDATA2,Check frame 3 channel 1 word 2
